127.0.0.1 - - [15/Nov/2023:22:51:51 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/Home.jsp HTTP/1.1" 200 12035
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/imagens/car3.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/imagens/car2.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/imagens/car1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/home.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /imagens/car-header.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/imagens/feature-planet.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/imagens/instagram.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/imagens/facebook.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /Caarakkol/imagens/about.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:51:57 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /Caarakkol/Home.jsp HTTP/1.1" 200 12035
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /Caarakkol/imagens/car1.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /imagens/car-header.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /Caarakkol/imagens/car2.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /Caarakkol/home.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /Caarakkol/imagens/about.png HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /Caarakkol/imagens/car3.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /Caarakkol/imagens/feature-planet.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /Caarakkol/imagens/instagram.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [15/Nov/2023:22:52:04 -0300] "GET /Caarakkol/imagens/facebook.png HTTP/1.1" 404 801
